,Unnamed: 0,FID,pkuid,utm-easting,utm-northing,Area,type,feature,genus,property-1,property-2
210,210,210,211,627951.2138,1013941.853,143,Foraging & Travel connection,Foraging & Travel connection & Nesting Site,G3 & G2,R1 & R3 & R2,T1
211,211,211,212,627840.6652,1013831.138,567,Foraging & Travel connection,Nesting Site,G2,R2 & R1 & R3,T1
212,212,212,213,627875.6006,1013779.443,472,Nesting Site & Foraging,Foraging,G2 & G3,R3 & R2,T1 & T2 & T3
213,213,213,214,627759.822,1013774.769,52,Foraging & Nesting Site & Travel connection,Foraging,G1 & G2 & G3,R2,T3 & T2
214,214,214,215,627758.7043,1013741.625,209,Nesting Site & Foraging & Travel connection,Nesting Site & Foraging & Travel connection,G2,R3 & R2 & R1,T3 & T1
215,215,215,216,627797.8455,1013784.188,639,Foraging & Travel connection & Nesting Site,Travel connection & Foraging,G2,R1 & R3,T1
216,216,216,217,627826.8308,1013759.536,333,Foraging,Nesting Site,G2 & G1 & G3,R2 & R1,T2 & T1 & T3
217,217,217,218,627792.0778,1013757.357,224,Travel connection & Foraging & Nesting Site,Foraging & Nesting Site & Travel connection,G3 & G2,R3 & R1 & R2,T1
218,218,218,219,627634.1195,1013647.566,281,Travel connection & Foraging & Nesting Site,Travel connection & Foraging & Nesting Site,G3 & G2 & G1,R2,T2
219,219,219,220,627610.1816,1013765.965,471,Foraging & Travel connection,Foraging & Travel connection,G2 & G3,R1 & R3 & R2,T2
220,220,220,221,627557.5277,1013772.39,445,Travel connection & Foraging,Nesting Site,G3,R3 & R1,T2 & T1
221,221,221,222,627515.3133,1013664.24,343,Foraging & Nesting Site,Foraging & Nesting Site,G3,R2 & R1 & R3,T2 & T1
222,222,222,223,627566.2461,1013665.753,239,Nesting Site & Foraging,Nesting Site & Foraging,G3 & G1 & G2,R3 & R2,T3
223,223,223,224,627632.9097,1013732.515,127,Travel connection,Nesting Site & Travel connection & Foraging,G1 & G2 & G3,R2 & R3 & R1,T1
224,224,224,225,627624.1932,1013722.666,212,Travel connection & Foraging & Nesting Site,Foraging & Travel connection & Nesting Site,G1,R1 & R2 & R3,T2 & T3
225,225,225,226,627655.7436,1013630.882,245,Nesting Site & Foraging,Foraging & Nesting Site & Travel connection,G1 & G3 & G2,R1 & R2 & R3,T3 & T2
226,226,226,227,627682.7715,1013647.681,133,Travel connection & Foraging & Nesting Site,Foraging,G3 & G1 & G2,R1 & R3,T1
227,227,227,228,627654.3944,1013653.464,100,Nesting Site & Travel connection,Foraging,G2 & G1,R3 & R2 & R1,T3 & T1 & T2
228,228,228,229,627865.6573,1013722.357,70,Nesting Site,Nesting Site & Travel connection,G1,R3,T2 & T3
229,229,229,230,627853.5009,1013728.163,112,Travel connection & Nesting Site & Foraging,Travel connection & Nesting Site,G3,R3,T1 & T3
230,230,230,231,627726.723,1013625.598,276,Foraging & Nesting Site,Nesting Site,G3 & G1,R3 & R1,T3 & T2
231,231,231,232,627727.5026,1013646.583,164,Nesting Site,Nesting Site,G1 & G2 & G3,R3 & R1 & R2,T1
232,232,232,233,627741.423,1013516.996,197,Foraging & Travel connection,Travel connection & Nesting Site,G1,R2,T3 & T2 & T1
233,233,233,234,627686.0548,1013554.557,247,Travel connection & Nesting Site,Nesting Site & Travel connection,G1 & G3,R1 & R3,T2
234,234,234,235,627588.4698,1013554.091,322,Travel connection & Foraging,Nesting Site & Travel connection & Foraging,G1,R1 & R2,T2
235,235,235,236,627508.7827,1013585.516,358,Travel connection & Nesting Site,Foraging & Travel connection,G2 & G3,R1,T2 & T1 & T3
236,236,236,237,627725.9809,1013327.202,206,Travel connection,Foraging & Travel connection,G3,R1,T1 & T2
237,237,237,238,627699.0966,1013330.788,581,Travel connection & Foraging & Nesting Site,Foraging & Travel connection & Nesting Site,G3 & G1,R3,T3
238,238,238,239,627681.0646,1013339.731,269,Nesting Site & Travel connection,Foraging,G3 & G1,R2 & R3,T3 & T1
239,239,239,240,627554.2028,1013428.457,343,Foraging & Nesting Site,Nesting Site & Foraging,G3,R2,T2 & T3
240,240,240,241,627714.2349,1013383.864,285,Travel connection,Travel connection,G3 & G2,R3 & R1 & R2,T1
241,241,241,242,627662.6166,1013237.911,213,Travel connection & Nesting Site,Nesting Site,G1 & G2 & G3,R3,T1 & T2 & T3
242,242,242,243,627700.0749,1013060.127,310,Nesting Site & Foraging & Travel connection,Nesting Site,G3 & G2 & G1,R1 & R2,T1
243,243,243,244,627566.3396,1013340.836,472,Foraging & Travel connection,Foraging & Travel connection,G3 & G1,R1 & R3,T2 & T3 & T1
244,244,244,245,627867.7424,1013113.449,131,Travel connection & Foraging,Foraging & Nesting Site,G3 & G2 & G1,R2 & R1,T2
245,245,245,246,627721.8838,1013141.791,173,Travel connection & Foraging & Nesting Site,Foraging & Travel connection & Nesting Site,G1,R2,T2
246,246,246,247,627746.8778,1013090.638,664,Nesting Site & Foraging & Travel connection,Nesting Site,G1 & G3,R2 & R3 & R1,T3 & T2 & T1
247,247,247,248,627533.815,1013104.851,689,Foraging & Travel connection,Nesting Site & Foraging,G2 & G3,R1,T3
248,248,248,249,627534.5581,1013068.662,42,Foraging,Nesting Site & Foraging,G3,R3 & R2,T1
249,249,249,250,627540.2417,1013060.431,174,Nesting Site,Foraging & Travel connection & Nesting Site,G2 & G1,R1,T3 & T2
250,250,250,251,627929.4872,1013095.386,115,Travel connection,Travel connection,G2 & G3 & G1,R2,T3
251,251,251,252,627594.6933,1012930.187,209,Travel connection & Nesting Site & Foraging,Travel connection & Foraging & Nesting Site,G2 & G1,R3,T1
252,252,252,253,627507.2971,1012951.543,771,Foraging,Travel connection & Foraging,G1,R3 & R1,T3 & T1
253,253,253,254,627714.2373,1012975.883,624,Foraging & Nesting Site & Travel connection,Travel connection & Foraging & Nesting Site,G1 & G3 & G2,R3 & R1 & R2,T2 & T3 & T1
254,254,254,255,627546.5702,1012715.747,672,Travel connection & Nesting Site & Foraging,Travel connection,G2 & G1,R1 & R3 & R2,T2 & T1 & T3
255,255,255,256,627939.3766,1012765.899,288,Nesting Site,Travel connection & Nesting Site & Foraging,G1,R3 & R1 & R2,T3 & T1
256,256,256,257,627922.4023,1012597.478,227,Travel connection & Foraging,Foraging & Nesting Site,G3 & G1,R1 & R2,T2 & T3 & T1
257,257,257,258,627808.2565,1012508.043,445,Nesting Site & Foraging & Travel connection,Foraging,G3,R3 & R1 & R2,T2
258,258,258,259,627745.9296,1012346.465,500,Foraging & Nesting Site & Travel connection,Nesting Site,G1,R2,T2 & T3 & T1
259,259,259,260,627528.129,1012452.977,355,Foraging & Nesting Site,Travel connection & Nesting Site & Foraging,G3 & G1 & G2,R1,T2 & T1
260,260,260,261,627690.2924,1012473.942,105,Foraging & Nesting Site & Travel connection,Travel connection & Nesting Site & Foraging,G2 & G1,R3 & R1 & R2,T3 & T2
261,261,261,262,627684.3359,1012459.167,149,Travel connection & Foraging & Nesting Site,Foraging,G3 & G1,R1 & R2 & R3,T2 & T1
262,262,262,263,627669.2291,1012463.602,281,Travel connection,Foraging & Travel connection & Nesting Site,G3 & G1,R3 & R1,T2 & T1 & T3
263,263,263,264,627785.8763,1012433.826,343,Nesting Site & Travel connection & Foraging,Travel connection,G2 & G3 & G1,R1 & R3,T3
264,264,264,265,627877.7407,1012287.049,490,Travel connection & Nesting Site & Foraging,Nesting Site & Foraging,G1,R3 & R1,T3
265,265,265,266,627854.4928,1012341.047,169,Foraging & Travel connection & Nesting Site,Travel connection & Foraging & Nesting Site,G2,R3,T2 & T1 & T3
266,266,266,267,627586.0904,1012008.413,453,Travel connection & Nesting Site & Foraging,Foraging & Nesting Site,G1,R3 & R2 & R1,T1 & T3
267,267,267,268,627747.5732,1012266.452,220,Foraging & Nesting Site,Travel connection & Nesting Site & Foraging,G2,R3,T2 & T1 & T3
268,268,268,269,627628.972,1012366.023,381,Travel connection & Foraging & Nesting Site,Foraging & Travel connection & Nesting Site,G3 & G2,R3,T3 & T2 & T1
269,269,269,270,627628.2763,1012334.952,327,Travel connection & Foraging,Foraging & Travel connection & Nesting Site,G3 & G2,R1 & R3 & R2,T1
270,270,270,271,627528.2518,1012261.71,574,Foraging & Travel connection & Nesting Site,Travel connection & Foraging,G3 & G1,R3,T3
271,271,271,272,627878.6765,1012060.142,200,Foraging & Nesting Site & Travel connection,Nesting Site & Travel connection & Foraging,G3 & G1,R3,T3
272,272,272,273,627829.3204,1012054.534,405,Nesting Site & Travel connection,Foraging & Nesting Site,G3,R2 & R1,T2 & T3 & T1
273,273,273,274,627649.1919,1012058.894,301,Foraging,Nesting Site,G1 & G3,R3 & R2,T2 & T3 & T1
274,274,274,275,627568.9742,1012090.035,283,Travel connection,Foraging & Travel connection & Nesting Site,G3 & G2,R1 & R3 & R2,T1 & T3 & T2
275,275,275,276,627573.3121,1012030.682,376,Travel connection,Foraging & Nesting Site,G3,R3,T3
276,276,276,277,627573.9268,1012050.802,94,Travel connection & Nesting Site,Nesting Site & Travel connection,G2,R3,T1 & T2 & T3
277,277,277,278,627774.4538,1011936.463,468,Travel connection,Nesting Site,G2 & G1,R1 & R3 & R2,T2 & T3 & T1
278,278,278,279,627776.2398,1011923.359,134,Nesting Site,Nesting Site,G2 & G3,R3 & R2,T2
279,279,279,280,627730.831,1011864.991,214,Foraging & Nesting Site & Travel connection,Nesting Site & Travel connection,G3,R3 & R2,T3 & T2 & T1
280,280,280,281,627680.3772,1011840.995,287,Foraging & Travel connection,Nesting Site,G2 & G3 & G1,R2,T2 & T3 & T1
281,281,281,282,627653.8364,1011754.766,219,Travel connection,Foraging,G2 & G3 & G1,R1 & R2 & R3,T2 & T1
282,282,282,283,627972.7643,1011709.645,305,Foraging & Nesting Site & Travel connection,Foraging,G2 & G3 & G1,R1,T3
283,283,283,284,627959.33,1011691.016,556,Nesting Site & Foraging,Nesting Site & Travel connection,G1 & G2 & G3,R3,T3 & T1
284,284,284,285,627837.9526,1011618.146,116,Travel connection & Foraging & Nesting Site,Travel connection & Nesting Site,G1 & G2 & G3,R1 & R2,T3 & T1
285,285,285,286,627806.4001,1011619.451,312,Foraging,Nesting Site & Travel connection & Foraging,G2 & G1 & G3,R1,T2
286,286,286,287,628165.6933,1012899.163,329,Nesting Site,Foraging,G1 & G2,R2,T1 & T3
287,287,287,288,628150.1687,1012902.201,376,Travel connection & Nesting Site & Foraging,Travel connection,G3 & G2,R1 & R2,T3
288,288,288,289,628272.4205,1012913.061,120,Foraging & Nesting Site,Nesting Site & Foraging,G2,R3,T1 & T3 & T2
289,289,289,290,628367.826,1012584.082,256,Travel connection & Foraging & Nesting Site,Travel connection & Nesting Site & Foraging,G2 & G1,R1 & R3,T2 & T3
290,290,290,291,628444.7297,1012365.457,170,Travel connection & Foraging & Nesting Site,Foraging & Travel connection,G2 & G3 & G1,R3 & R1 & R2,T1 & T3
291,291,291,292,628369.1393,1012024.781,348,Foraging & Nesting Site & Travel connection,Foraging,G1,R2 & R3,T3
292,292,292,293,628490.7646,1012350.022,63,Nesting Site,Foraging & Travel connection & Nesting Site,G3,R3 & R2,T1 & T2
293,293,293,294,628009.9406,1012336.215,355,Travel connection & Foraging,Travel connection & Nesting Site & Foraging,G3 & G1 & G2,R2 & R1 & R3,T2
294,294,294,295,628027.8873,1012343.524,209,Nesting Site & Foraging,Nesting Site & Foraging,G2 & G1 & G3,R2,T3
295,295,295,296,628044.2499,1012346.502,143,Foraging & Nesting Site & Travel connection,Nesting Site & Travel connection,G1 & G2,R1 & R3,T2 & T3 & T1
296,296,296,297,628671.3724,1012889.131,114,Nesting Site & Travel connection & Foraging,Nesting Site,G2,R1 & R2 & R3,T3 & T2 & T1
297,297,297,298,628788.2486,1012988.415,245,Travel connection,Foraging & Nesting Site & Travel connection,G3 & G2 & G1,R2 & R1,T2
298,298,298,299,628286.6596,1011815.467,256,Nesting Site & Foraging & Travel connection,Travel connection,G2 & G3 & G1,R3 & R2 & R1,T3 & T2
299,299,299,300,628439.1604,1011512.517,310,Travel connection & Nesting Site & Foraging,Nesting Site & Foraging & Travel connection,G2,R2 & R3 & R1,T1 & T3 & T2
300,300,300,301,628482.6876,1011537.215,175,Travel connection,Nesting Site & Foraging & Travel connection,G1 & G3 & G2,R3 & R1,T2 & T3
301,301,301,302,628551.9672,1012921.118,284,Travel connection & Foraging & Nesting Site,Foraging & Travel connection & Nesting Site,G1 & G2 & G3,R2,T1 & T2 & T3
302,302,302,303,628916.4203,1012903.169,611,Nesting Site,Foraging & Travel connection,G2 & G3 & G1,R2 & R3,T1 & T3 & T2
303,303,303,304,628997.4688,1012876.139,239,Nesting Site & Travel connection,Foraging,G1 & G3 & G2,R1 & R3 & R2,T3
304,304,304,305,628896.1395,1012857.892,470,Travel connection & Foraging & Nesting Site,Travel connection & Nesting Site,G3,R2 & R3,T1 & T3 & T2
305,305,305,306,628873.441,1012860.189,528,Nesting Site & Foraging & Travel connection,Foraging & Nesting Site & Travel connection,G1 & G3 & G2,R3,T3 & T2
306,306,306,307,628858.4895,1012853.652,229,Foraging,Nesting Site,G2,R2,T1 & T2
307,307,307,308,628762.314,1012754.956,325,Travel connection & Foraging,Foraging,G2 & G1 & G3,R3 & R2,T3
308,308,308,309,628694.9639,1012787.726,238,Nesting Site & Foraging,Foraging & Travel connection & Nesting Site,G1,R2 & R1 & R3,T3 & T1
309,309,309,310,628701.3466,1012806.287,287,Foraging & Nesting Site,Nesting Site & Foraging,G2 & G3 & G1,R2,T2 & T3 & T1
310,310,310,311,628706.0241,1012819.126,106,Travel connection & Nesting Site & Foraging,Nesting Site & Foraging & Travel connection,G3,R2 & R1,T3
311,311,311,312,628805.1326,1012500.089,272,Foraging & Travel connection & Nesting Site,Foraging & Nesting Site,G2 & G3,R3 & R2 & R1,T1 & T3
312,312,312,313,628829.5438,1012511.469,673,Foraging & Nesting Site,Foraging & Nesting Site,G3 & G1 & G2,R1,T1 & T2 & T3
313,313,313,314,628838.3084,1012537.889,459,Travel connection & Foraging,Nesting Site,G2 & G3,R3,T1 & T2
314,314,314,315,628803.0069,1012569.749,430,Foraging & Travel connection & Nesting Site,Travel connection,G2,R2 & R1 & R3,T1
315,315,315,316,628752.8589,1012513.648,253,Foraging & Nesting Site & Travel connection,Foraging & Nesting Site & Travel connection,G3,R3 & R1 & R2,T2
316,316,316,317,628555.3564,1012484.082,300,Travel connection & Nesting Site & Foraging,Nesting Site,G1 & G2,R2 & R1 & R3,T2
317,317,317,318,628643.0174,1012452.213,199,Nesting Site & Travel connection & Foraging,Nesting Site,G2,R2,T2 & T3
318,318,318,319,628626.3787,1012448.666,170,Nesting Site & Travel connection,Foraging & Nesting Site & Travel connection,G2,R2,T1
319,319,319,320,628677.8104,1012427.703,91,Nesting Site,Foraging & Nesting Site,G3 & G1,R3,T3 & T1 & T2
320,320,320,321,628803.8325,1012455.138,119,Foraging,Travel connection,G1 & G2,R3 & R2 & R1,T3 & T1 & T2
321,321,321,322,628818.7401,1012410.411,425,Nesting Site & Foraging & Travel connection,Nesting Site & Travel connection,G3 & G1,R2,T3 & T2 & T1
322,322,322,323,628758.0019,1012374.073,120,Foraging & Travel connection & Nesting Site,Nesting Site,G2,R3 & R2,T3 & T2 & T1
323,323,323,324,628791.4361,1012367.396,172,Travel connection & Foraging & Nesting Site,Nesting Site & Travel connection,G3 & G2,R2 & R3 & R1,T2 & T1
324,324,324,325,628963.4439,1012388.308,338,Travel connection & Foraging & Nesting Site,Travel connection & Nesting Site,G3,R3,T1
325,325,325,326,628939.3593,1012275.36,398,Nesting Site,Nesting Site,G1 & G2 & G3,R3 & R2 & R1,T1
326,326,326,327,628906.8401,1012252.861,191,Nesting Site,Travel connection,G2 & G1,R2 & R1,T1
327,327,327,328,628851.2699,1012256.946,364,Nesting Site & Travel connection & Foraging,Travel connection & Nesting Site & Foraging,G3 & G1,R1 & R3 & R2,T2 & T1
328,328,328,329,628993.8396,1012016.398,315,Travel connection & Nesting Site,Nesting Site & Travel connection & Foraging,G1,R2 & R3,T2 & T3 & T1
329,329,329,330,628642.661,1012069.824,256,Nesting Site,Foraging & Nesting Site & Travel connection,G1,R3,T3 & T1 & T2
330,330,330,331,628666.9365,1012051.451,700,Nesting Site & Foraging & Travel connection,Foraging & Travel connection & Nesting Site,G1,R2 & R1,T1 & T3
331,331,331,332,628609.1024,1011987.878,180,Travel connection,Foraging,G2 & G1 & G3,R3,T3 & T2
332,332,332,333,628661.0235,1011932.857,476,Foraging & Nesting Site & Travel connection,Foraging & Nesting Site & Travel connection,G2,R2,T1 & T3
333,333,333,334,628822.4646,1011965.382,482,Foraging,Foraging,G2 & G1 & G3,R2 & R3,T3 & T1 & T2
334,334,334,335,628851.1858,1011857.49,186,Nesting Site,Travel connection & Foraging,G2 & G3 & G1,R2 & R1 & R3,T2 & T3
335,335,335,336,628675.0564,1011664.676,425,Foraging,Nesting Site & Foraging & Travel connection,G1 & G3,R1,T1 & T3
336,336,336,337,628794.6352,1011691.571,175,Foraging,Travel connection & Foraging & Nesting Site,G1 & G3,R2 & R1,T3
337,337,337,338,628787.7473,1011682.668,224,Travel connection,Foraging,G1 & G3,R1,T1
338,338,338,339,628793.8435,1011660.26,55,Nesting Site & Travel connection & Foraging,Nesting Site,G2 & G1,R1 & R3,T1 & T3 & T2
339,339,339,340,628872.5116,1011740.68,126,Nesting Site & Travel connection & Foraging,Nesting Site & Foraging,G2 & G3 & G1,R1 & R3,T1 & T2
340,340,340,341,628864.9945,1011683.598,113,Nesting Site & Foraging & Travel connection,Foraging,G3 & G2 & G1,R3 & R1 & R2,T3 & T2
341,341,341,342,628873.2389,1011669.044,521,Travel connection & Foraging & Nesting Site,Foraging & Nesting Site,G2 & G1,R3 & R1 & R2,T3 & T2 & T1
342,342,342,343,628995.702,1011533.294,201,Travel connection & Nesting Site & Foraging,Travel connection,G3 & G1 & G2,R1,T3
343,343,343,344,628913.3628,1011552.324,403,Nesting Site & Travel connection,Foraging,G3,R3 & R1 & R2,T2 & T1
344,344,344,345,628919.2812,1011536.209,250,Travel connection & Foraging & Nesting Site,Nesting Site,G3 & G1,R2 & R3 & R1,T1 & T3 & T2
345,345,345,346,628884.3812,1011528.327,323,Travel connection,Foraging,G1 & G2 & G3,R1 & R2 & R3,T3
346,346,346,347,628851.2525,1011515.117,163,Travel connection & Nesting Site,Travel connection,G2 & G1 & G3,R3 & R2,T3 & T1
347,347,347,348,628825.5261,1011508.999,185,Foraging,Foraging & Nesting Site & Travel connection,G1 & G2 & G3,R2 & R1,T2 & T1 & T3
348,348,348,349,628810.8677,1011505.603,238,Foraging,Nesting Site & Travel connection,G2,R3 & R2 & R1,T3
349,349,349,350,628800.1026,1011519.931,131,Travel connection & Foraging & Nesting Site,Nesting Site,G3 & G1,R2,T3 & T1
350,350,350,351,628772.58,1011532.999,235,Foraging,Travel connection,G1 & G2,R3 & R2,T1
351,351,351,352,628796.9202,1011490.973,113,Foraging & Travel connection & Nesting Site,Foraging,G2,R2,T1
352,352,352,353,628775.2921,1011468.229,121,Travel connection,Nesting Site & Foraging & Travel connection,G3 & G2,R2,T2 & T1 & T3
353,353,353,354,628646.4152,1011438.409,91,Nesting Site,Foraging,G1 & G2 & G3,R3,T1
354,354,354,355,628759.5403,1011410.027,50,Nesting Site & Foraging,Nesting Site,G1 & G3,R3 & R2 & R1,T3
355,355,355,356,628831.6851,1011335.68,121,Travel connection & Nesting Site,Travel connection & Foraging,G2 & G3 & G1,R3 & R1,T1 & T3
356,356,356,357,628822.6189,1011347.439,337,Nesting Site,Nesting Site,G3,R2 & R1,T1
357,357,357,358,628809.3703,1011360.734,210,Foraging & Nesting Site & Travel connection,Foraging & Travel connection,G1,R2,T3 & T2
358,358,358,359,628811.0914,1011327.025,212,Nesting Site & Foraging,Nesting Site,G1 & G2 & G3,R2,T1
359,359,359,360,628764.0355,1011344.246,94,Foraging,Nesting Site & Travel connection & Foraging,G2 & G1,R1,T1 & T3 & T2
360,360,360,361,628942.0106,1011184.411,401,Foraging & Nesting Site & Travel connection,Nesting Site & Foraging & Travel connection,G3,R1 & R3 & R2,T2
361,361,361,362,628919.7101,1011126.44,219,Nesting Site,Foraging & Travel connection,G3 & G2 & G1,R3 & R1,T2 & T3 & T1
362,362,362,363,628857.9335,1011169.128,291,Foraging & Travel connection,Nesting Site & Travel connection,G2 & G1,R1 & R3 & R2,T2 & T3
363,363,363,364,628677.0009,1010689.751,457,Travel connection,Nesting Site,G1,R1,T1 & T2
364,364,364,365,628665.7369,1010703.117,158,Travel connection & Foraging & Nesting Site,Travel connection,G2,R3 & R2,T2
365,365,365,366,628748.8582,1010741.507,210,Foraging & Travel connection & Nesting Site,Travel connection & Foraging,G2,R1 & R2 & R3,T1 & T2 & T3
366,366,366,367,628730.2936,1010735.84,701,Foraging,Travel connection & Foraging,G3,R2 & R3 & R1,T2
367,367,367,368,628753.9652,1010704.059,585,Travel connection,Travel connection & Nesting Site,G1 & G3,R3,T1
368,368,368,369,628777.445,1010633.562,493,Nesting Site & Foraging & Travel connection,Foraging & Travel connection & Nesting Site,G2,R3,T1 & T3 & T2
369,369,369,370,628695.4978,1010539.7,126,Foraging & Travel connection & Nesting Site,Foraging & Nesting Site & Travel connection,G3 & G2 & G1,R1 & R3,T1 & T3
370,370,370,371,629069.014,1012990.619,182,Nesting Site,Travel connection & Foraging,G1,R2 & R3 & R1,T2
371,371,371,372,629067.5651,1012977.764,100,Travel connection & Foraging,Foraging & Travel connection,G3 & G2 & G1,R3 & R1,T2 & T1
372,372,372,373,629011.9283,1012909.437,183,Foraging,Nesting Site & Travel connection,G3,R1,T2 & T3
373,373,373,374,629032.4766,1012929.175,252,Foraging & Travel connection & Nesting Site,Travel connection & Nesting Site,G2,R1,T3 & T1 & T2
374,374,374,375,629022.3774,1012922.839,80,Nesting Site & Foraging & Travel connection,Foraging & Travel connection & Nesting Site,G1 & G3,R2 & R3,T2 & T3 & T1
375,375,375,376,629068.0257,1012925.971,257,Travel connection & Foraging & Nesting Site,Travel connection,G2 & G3,R2,T1 & T3
376,376,376,377,629049.5305,1012904.752,347,Nesting Site & Travel connection & Foraging,Nesting Site,G2,R1 & R2,T3 & T1
377,377,377,378,629072.3391,1012895.194,210,Foraging & Nesting Site & Travel connection,Travel connection & Nesting Site & Foraging,G1 & G2 & G3,R2,T3 & T2
378,378,378,379,629095.0946,1012875.843,183,Foraging & Nesting Site,Nesting Site & Travel connection & Foraging,G2 & G1 & G3,R3 & R1 & R2,T3 & T1 & T2
379,379,379,380,629170.9389,1012974.387,247,Foraging & Nesting Site,Nesting Site & Travel connection & Foraging,G1,R3 & R1 & R2,T1 & T3 & T2
380,380,380,381,629183.4802,1012961.423,148,Nesting Site & Foraging,Foraging & Travel connection,G2 & G3,R1,T1 & T3
381,381,381,382,629170.1746,1012991.517,93,Travel connection,Travel connection & Foraging,G3 & G2 & G1,R1 & R2 & R3,T1 & T2 & T3
382,382,382,383,629157.607,1012946.652,226,Travel connection & Nesting Site & Foraging,Travel connection,G3 & G2,R1,T2 & T3
383,383,383,384,629140.3408,1012939.975,105,Nesting Site,Nesting Site & Foraging & Travel connection,G1 & G2,R2 & R1,T3 & T2 & T1
384,384,384,385,629151.3842,1012960.99,64,Travel connection & Foraging & Nesting Site,Nesting Site,G1,R3 & R2,T3 & T2
385,385,385,386,629141.4164,1012953.259,284,Nesting Site & Foraging,Foraging,G3 & G1,R1,T1
386,386,386,387,629253.0751,1012827.734,441,Foraging & Travel connection & Nesting Site,Travel connection & Nesting Site,G2,R2 & R3 & R1,T3
387,387,387,388,629107.9081,1012852.367,497,Travel connection & Foraging & Nesting Site,Travel connection,G1 & G3,R2,T2 & T3
388,388,388,389,629054.9035,1012852.94,355,Travel connection,Foraging,G3,R2,T3
389,389,389,390,629023.6511,1012845.544,329,Foraging & Nesting Site,Nesting Site & Foraging & Travel connection,G2 & G1 & G3,R2,T2 & T3 & T1
390,390,390,391,629013.3007,1012811.597,179,Foraging & Travel connection & Nesting Site,Nesting Site & Foraging & Travel connection,G1,R3,T3
391,391,391,392,629028.115,1012815.917,138,Foraging & Nesting Site & Travel connection,Nesting Site & Foraging,G1 & G2,R3 & R2,T3 & T2 & T1
392,392,392,393,629030.3564,1012804.483,297,Nesting Site & Foraging,Foraging & Travel connection & Nesting Site,G3 & G1 & G2,R3,T2 & T3 & T1
393,393,393,394,629054.9264,1012804.757,110,Nesting Site & Foraging & Travel connection,Foraging & Travel connection,G2 & G3 & G1,R2,T3 & T2
394,394,394,395,629042.9886,1012731.588,651,Nesting Site,Travel connection,G3,R3 & R2 & R1,T3 & T1
395,395,395,396,629221.0164,1012753.468,377,Travel connection & Nesting Site & Foraging,Foraging & Nesting Site,G2 & G1 & G3,R1 & R2,T2 & T1 & T3
396,396,396,397,629267.9909,1012734.992,64,Travel connection,Foraging & Travel connection & Nesting Site,G2 & G3,R2 & R1 & R3,T3 & T2 & T1
397,397,397,398,629255.6157,1012713.481,326,Travel connection & Foraging & Nesting Site,Nesting Site,G1 & G3,R3,T3
398,398,398,399,629072.7836,1012634.067,256,Nesting Site & Foraging,Nesting Site & Travel connection & Foraging,G3,R3 & R2 & R1,T1
399,399,399,400,629053.8342,1012621.197,97,Travel connection,Travel connection,G1,R1 & R3 & R2,T1 & T3
400,400,400,401,629038.0622,1012589.455,249,Foraging & Nesting Site & Travel connection,Nesting Site,G1 & G2,R2 & R1 & R3,T3
401,401,401,402,629034.2314,1012570.033,368,Travel connection,Foraging & Travel connection & Nesting Site,G3 & G2,R1,T3
402,402,402,403,629016.5291,1012565.588,221,Travel connection & Nesting Site,Foraging,G1,R3 & R1 & R2,T1 & T2
403,403,403,404,629060.5963,1012563.748,259,Travel connection,Travel connection & Foraging & Nesting Site,G2 & G3,R2 & R1 & R3,T3
404,404,404,405,629030.5659,1012518.797,592,Foraging,Travel connection & Nesting Site & Foraging,G3 & G1 & G2,R3 & R1,T3 & T2
405,405,405,406,629117.0668,1012530.977,538,Foraging & Nesting Site,Foraging & Travel connection & Nesting Site,G1,R3 & R2 & R1,T2 & T1 & T3
406,406,406,407,627112.6545,1013484.868,200,Foraging & Travel connection,Nesting Site,G2 & G1,R1 & R2,T3 & T1 & T2
407,407,407,408,627018.7248,1013388.049,61,Foraging & Nesting Site & Travel connection,Foraging & Travel connection,G3 & G2 & G1,R1,T3
408,408,408,409,627128.9783,1013487.402,356,Foraging & Travel connection & Nesting Site,Nesting Site & Foraging & Travel connection,G1 & G3,R3,T3 & T1 & T2
409,409,409,410,627160.4342,1013463.126,316,Foraging & Travel connection,Nesting Site,G3 & G2 & G1,R1 & R3 & R2,T3 & T1 & T2
410,410,410,411,627213.2743,1013399.836,245,Travel connection & Nesting Site & Foraging,Foraging,G2,R2 & R3 & R1,T1 & T3 & T2
411,411,411,412,627229.1448,1013388.602,431,Travel connection & Nesting Site & Foraging,Foraging & Nesting Site & Travel connection,G1 & G3,R3 & R1,T3 & T1
412,412,412,413,627348.7522,1013499.964,318,Nesting Site,Travel connection & Foraging & Nesting Site,G2,R1 & R2,T2 & T3
413,413,413,414,627324.9744,1013237.196,148,Foraging & Nesting Site & Travel connection,Nesting Site & Foraging,G2 & G3,R3,T1 & T2
414,414,414,415,627060.6745,1013360.712,582,Foraging & Travel connection & Nesting Site,Foraging & Travel connection & Nesting Site,G3 & G1,R3 & R2 & R1,T2 & T3
415,415,415,416,627196.9035,1013208.046,363,Foraging & Travel connection,Foraging & Travel connection & Nesting Site,G3 & G1,R1 & R2 & R3,T1 & T3
416,416,416,417,627189.797,1013174.96,618,Nesting Site & Foraging & Travel connection,Foraging & Travel connection & Nesting Site,G1,R2,T3
417,417,417,418,627171.5741,1013172.37,131,Foraging & Travel connection & Nesting Site,Nesting Site,G2,R2 & R1,T1
